;No;;;Tanggal;;;PM10;;;SO2;;;CO;;;O3;;;NO2;;;Output;;
67;;;03/08/2014;;;368,97;;;94,86;;;2,39;;;56,44;;;5,27;;;;STS;;
68;;;03/09/2014;;;492,56;;;87,91;;;2,95;;;45,76;;;2,7;;;;BB;;
69;;;03/10/2014;;;386,95;;;94;;;2,29;;;58,76;;;4,42;;;;STS;;
70;;;03/11/2014;;;326,84;;;97,99;;;1,93;;;75,59;;;9,74;;;;STS;;
71;;;03/12/2014;;;465,01;;;100,23;;;2,57;;;64,57;;;8,39;;;;BB;;
72;;;13/03/2014;;;486,45;;;107,4;;;4,75;;;48,54;;;3,45;;;;BB;;
73;;;14/03/2014;;;617,24;;;122,16;;;5,06;;;54,19;;;4,19;;;;BB;;
74;;;15/03/2014;;;322,73;;;111,94;;;1,92;;;53,47;;;7,79;;;;BB;;
75;;;16/03/2014;;;168,54;;;102,89;;;1,27;;;51,33;;;3,89;;;;TS;;
76;;;17/03/2014;;;73,53;;;99,37;;;0,62;;;59,62;;;5,39;;;;S;;
77;;;18/03/2014;;;43,68;;;93,08;;;0,35;;;56,58;;;7,22;;;;S;;
78;;;19/03/2014;;;-;;;58,01;;;0,24;;;55,96;;;6,37;;;;B;;
79;;;20/03/2014;;;-;;;33,9;;;0,32;;;61,79;;;8,27;;;;S;;
80;;;21/03/2014;;;---;;;29,97;;;0,09;;;60,45;;;8,48;;;;B;;
81;;;22/03/2014;;;---;;;29,09;;;0,2;;;67,29;;;10,17;;;;B;;
82;;;23/03/2014;;;---;;;---;;;---;;;---;;;---;;;;S;;
83;;;24/03/2014;;;---;;;28,78;;;0,3;;;101,65;;;11,28;;;;S;;
84;;;25/03/2014;;;---;;;32,44;;;0,79;;;87,5;;;11,4;;;;S;;
85;;;26/03/2014;;;142,07;;;30,88;;;0,69;;;86,39;;;12,03;;;;S;;
86;;;27/03/2014;;;122,5;;;31,28;;;0,8;;;87,35;;;12,15;;;;S;;
87;;;28/03/2014;;;160,53;;;33,36;;;0,76;;;93,44;;;11,13;;;;TS;;
88;;;29/03/2014;;;100,88;;;30,47;;;0,58;;;66,53;;;11,11;;;;S;;
89;;;30/03/2014;;;121,93;;;27,63;;;0,63;;;78,31;;;10,99;;;;S;;
90;;;31/03/2014;;;72,57;;;28,97;;;0,33;;;60,28;;;10,31;;;;S;;
91;;;04/01/2014;;;34,74;;;29,02;;;0,19;;;64,99;;;9,72;;;;B;;
92;;;04/02/2014;;;25,18;;;27,02;;;0,26;;;80,76;;;10,57;;;;S;;
93;;;04/03/2014;;;49,82;;;37,83;;;0,52;;;53,72;;;14,8;;;;B;;
94;;;04/04/2014;;;19,57;;;29,19;;;0,19;;;50,33;;;10,53;;;;B;;
95;;;04/05/2014;;;7,31;;;25,4;;;0,04;;;37,03;;;7,62;;;;B;;
96;;;04/06/2014;;;16,38;;;25,68;;;0,07;;;35,61;;;8,13;;;;B;;
97;;;04/07/2014;;;23,99;;;26,2;;;0,17;;;45,05;;;10,43;;;;B;;
98;;;04/08/2014;;;20,97;;;26,08;;;0,12;;;46,24;;;8,71;;;;B;;
99;;;04/09/2014;;;49,79;;;25,85;;;0,08;;;48,25;;;11,07;;;;B;;
100;;;04/10/2014;;;25,29;;;25,7;;;0,13;;;42,31;;;9,69;;;;B;;
101;;;04/11/2014;;;20,64;;;25,43;;;0,06;;;33,65;;;8,03;;;;B;;
102;;;04/12/2014;;;22,28;;;24,93;;;0,06;;;39,82;;;7,77;;;;B;;
103;;;13/04/2014;;;18,09;;;25,05;;;0,08;;;38,33;;;9,23;;;;B;;
104;;;14/04/2014;;;34,75;;;26,95;;;0,2;;;42,19;;;10,42;;;;B;;
105;;;15/04/2014;;;35,09;;;26,36;;;0,09;;;45,43;;;9,73;;;;B;;
106;;;16/04/2014;;;17,44;;;26,06;;;0,19;;;40,69;;;8,14;;;;B;;
107;;;17/04/2014;;;24,4;;;26,03;;;0,13;;;42,74;;;9,44;;;;B;;
108;;;18/04/2014;;;32,53;;;25,11;;;0,06;;;46,28;;;11,25;;;;B;;
109;;;19/04/2014;;;49,16;;;26,3;;;0,43;;;67,66;;;12,18;;;;S;;
110;;;20/04/2014;;;25,77;;;26,27;;;0,1;;;43,62;;;10,95;;;;B;;
111;;;21/04/2014;;;18,81;;;25,8;;;0,23;;;49,66;;;10,42;;;;B;;
112;;;22/04/2014;;;24,95;;;25,89;;;0,12;;;40,94;;;9,69;;;;B;;
